"Caravan","hlr"
"Caravan","rb2"
"Caravan","nr3"
"Careful","hlr"
"Careful","rb2"
"Careful","rb3"
"Careless Love","blu"
"Careless Love","rb2"
"Careless Love","agz"
"Cariba","jlt"
"Cariba","tob"
"Caribbean Cutie","lib"
"Caridad","cub"
"Carioca","agz"
"Carioca","jfk"
"Carly And Carole","tob"
"Carnival","ebk"
"Carolina In The Morning","tbk"
"Carolina Moon 80 Cat Walk (The)","jfk"
"Carolina Shout","hlr"
"Carolina In The Morning","agz"
"Carry Me Back To Old Virginny","agz"
"Casa De Luz","lib"
"Casa Forte","nr2"
"Casa De Luz","jlt"
"Cascade Of The Seven Waterfalls","lrb"
"Cascades","jlt"
"Casey Jones","agz"
"Cast Your Fate To The Wind","hlr"
"Castle Rock","agz"
"Cat","jlt"
"Catch Me","rb2"
"Catch The Wind","ebk"
"Catching The Sun","hlr"
"Cathy","jlt"
"Cattanooga Choo Choo","tbk"
"Caught Up In The Rapture","srb"
"Cause Ill Be Lowdown","agz"
"Caution Blues (blues In Thirds)","agz"
"Cecilia Is Love","hlr"
"Cedars Blues","col"
"Celebration","tbk"
"Celia","agz"
"Celia","rb3"
"Cement Mixer","agz"
"Cemento Ladrillo Y Arena","cub"
"Centerpiece (Keester Parade)","col"
"Central Park West","rb1"
"Central Park West","nr2"
"Ceora","col"
"Ceora","nr3"
"Ceora","rb1"
"Certain Smile (A)","rb3"
"Cest Magnifique","tbk"
"Cest Si Bon (Its So Good)","hlr"
"Cest What","tob"
"Cest Si Bon","agz"
